"","number","time","company_name","ticker","person","share","price","amount_sold","share_owned"
"1",1,"2021-05-21","Interactive Brokers Group Inc.","IBKR","Peterffy ThomasChairman",40000,66.33,2653200,"7587511"
"2",2,"2021-05-21","MOODYS CORP","MCO","Kaye MarkCFO",2335,325.08,759061.8,"5989"
"3",3,"2021-05-21","QUALCOMM INC","QCOM","POLEK ERIN LCAO",1835,132,242220,"5570"
"4",4,"2021-05-21","Repare Therapeutics Inc.","RPTX","Segal Lloyd MitchellCEO",3770,35.03,132063.1,"138584"
"5",5,"2021-05-21","CORNING INC","GLW","Bell Michael AlanVP",2705,42.82,115828.1,"667"
"6",6,"2021-05-21","CORNING INC","GLW","France Robert P.VP",3713,42.79,158879.27,"30000"
"7",7,"2021-05-21","HIGHWOODS PROPERTIES Inc","HIW","Hartzell David JohnDirector",1262,43.74,55199.88,"25163"
"8",8,"2021-05-21","AMERICOLD REALTY TRUST","COLD","Harron James AndrewCIO",6000,37.98,227880,"8358"
"9",9,"2021-05-21","SiteOne Landscape Supply Inc.","SITE","Weller GregVP",1000,170.4,170400,"12168"
"10",10,"2021-05-21","GENESCO INC","GCO","MASON KATHLEENDirector",250,54,13500,"46392"
"11",11,"2021-05-21","CrowdStrike Holdings Inc.","CRWD","Carpenter Michael J.President",25000,196.09,4902250,"293632"
"12",12,"2021-05-21","SUNLINK HEALTH SYSTEMS INC","SSY","TURNER HOWARD EDirector",1e+05,2.86,286000,"281675"
"13",13,"2021-05-21","XPEL Inc.","XPEL","Crumly Richard K.Director10% Owner",22700,75.54,1714758,"495199"
"14",14,"2021-05-21","Priority Technology Holdings Inc.","PRTH","Kiewiet SeanCTO",45455,6.6,300003,"1816204"
"15",15,"2021-05-21","AKAMAI TECHNOLOGIES INC","AKAM","Greenthal Jill ADirector",545,112.32,61214.4,"34217"
"16",16,"2021-05-21","Squarespace Inc.","SQSP","Index Ventures Growth I (Jersey) L.P.Index Ventures Growth I Parallel Entrepreneur Fund (Jersey) L.P.Yucca (Jersey) SLPIndex Venture Growth Associates I Ltd10% Owner",194606,48,9341088,"96327"
"17",17,"2021-05-21","Oak Street Health Inc.","OSH","GUENTHNER ROBERTChief Legal Officer",5902,62.82,370763.64,"531692"
"18",18,"2021-05-21","Oak Street Health Inc.","OSH","PRICE GEOFFREY MCOO",65478,63.19,4137554.82,"6751810"
"19",19,"2021-05-21","JUNIPER NETWORKS INC","JNPR","DENUCCIO KEVIN ADirector",158,26.56,4196.48,"20000"
"20",20,"2021-05-21","Cambium Networks Corp","CMBM","Sheppeck BryanVP",1500,52,78000,"53334"
"21",21,"2021-05-21","Atkore Inc.","ATKR","James Wilbert W JrDirector",4126,77.74,320755.24,"14239"
"22",22,"2021-05-21","CARTERS INC","CRI","Robinson AntonioVP",692,101,69892,"9352"
"23",23,"2021-05-21","Moderna Inc.","MRNA","Bancel StephaneCEO",19000,157.94,3000860,"22779228"
"24",24,"2021-05-21","SUN COMMUNITIES INC","SUI","Dearing KarenCFO",14899,165,2458335,"172243"
"25",25,"2021-05-21","AMERICOLD REALTY TRUST","COLD","Heistand James RDirector",30000,37.8,1134000,"32506"
"26",26,"2021-05-21","HARVARD BIOSCIENCE INC","HBIO","Green James WCEO",5464,7.1315,38966.516,"348658"
"27",27,"2021-05-21","GAMCO INVESTORS Inc","GBL","Associated Capital Group Inc.GABELLI MARIO JGGCP Holdings LLCGGCP Inc10% Owner",24697,27.24,672746.28,"1784499"
"28",28,"2021-05-21","TRANSCAT INC","TRNS","Rudow Lee D.CEO",50000,55.99,2799500,"186628"
"29",29,"2021-05-21","Cohen & Co Inc.","COHN","Listman DouglasCAO",8507,24.69,210037.83,"5000"
"30",30,"2021-05-21","Duke Energy CORP","DUK","Jamil Dhiaa M.COO",7000,100.18,701260,"45481"
"31",31,"2021-05-21","Duke Energy CORP","DUK","MCKEE E MARIEDirector",3583,101.11,362277.13,"0"
"32",32,"2021-05-21","Moderna Inc.","MRNA","HENDERSON LORI M.General Counsel and Secretary",6600,159.92,1055472,"342453"
"33",33,"2021-05-21","Mr. Cooper Group Inc.","COOP","GIDEL ROBERT HDirector",6905,33.13,228762.65,"67132"
"34",34,"2021-05-21","PROCTER & GAMBLE Co","PG","Taylor David SCEOChairman",56202,138.5,7783977,"272310"
"35",35,"2021-05-21","Qorvo Inc.","QRVO","BRUGGEWORTH ROBERT ACEO",13535,170.75,2311101.25,"179564"
"36",36,"2021-05-21","Targa Resources Corp.","TRGP","TONG CHRISDirector",8000,38,304000,"92012"
"37",37,"2021-05-21","CHUY'S HOLDINGS Inc","CHUY","Mountford JohnCOO",11398,42,478716,"3850"
"38",38,"2021-05-21","Tenable Holdings Inc.","TENB","Riddick Stephen AGeneral Counsel & Secretary",1869,40.35,75414.15,"67145"
"39",39,"2021-05-21","Tenable Holdings Inc.","TENB","Vintz Stephen ACFO",4151,40.35,167492.85,"177464"
"40",40,"2021-05-21","IPG PHOTONICS CORP","IPGP","IP FIBRE DEVICES LTD10% Owner",1557,201.41,313595.37,"5916964004"
"41",41,"2021-05-21","Tenable Holdings Inc.","TENB","Yoran AmitCEOChairman",6455,40.35,260459.25,"1236406"
"42",42,"2021-05-21","SPRUCE BIOSCIENCES Inc","SPRB","Novo Holdings A/S10% Owner",475000,13.9,6602500,"4514336"
"43",43,"2021-05-21","Datadog Inc.","DDOG","Agarwal AmitChief Product Officer",23200,83.69,1941608,"394195"
"44",44,"2021-05-21","NORTHWEST PIPE CO","NWPX","ROMAN RICHARD ADirector",3000,32.22,96660,"39457"
"45",45,"2021-05-21","Datadog Inc.","DDOG","OBSTLER DAVID MCFO",5000,85.26,426300,"243230"
"46",46,"2021-05-21","HyreCar Inc.","HYRE","Park HenryCOO",35000,16.53,578550,"167365"
"47",47,"2021-05-21","Univar Solutions Inc.","UNVR","NEWLIN STEPHEN DDirector",1161,27,31347,"251596"
"48",48,"2021-05-21","Datadog Inc.","DDOG","Fougere DanChief Revenue Officer",11000,85.02,935220,"630293"
"49",49,"2021-05-21","Adicet Bio Inc.","ACET","Schor ChenCEO",16466,13.45,221467.7,"107800"
"50",50,"2021-05-21","Cardlytics Inc.","CDLX","Christiansen AndrewCFO",250,99,24750,"12627"
